Original sample number,Handle,Site name,scientificName,order,superfamily*,family,subfamily*,genus,specificEpithet,scientificNameAuthorship,organismQuantity,lifeStage,sex,sexRatio*,males,females,males and females text,recordedBy,continent,waterBody,islandGroup,island,country,stateProvince,municipality,locality,verbatimLocality,geodeticDatum,decimalLatitude,decimalLongitude,verbatimElevation,typeLocality*,verbatimDepth,year,month,day,eventDate,habitat,substrate*,vegetation*,temperature*,pH*,conductivity*,salinity*,dissolved oxygen*,basisOfRecord,nameInPaper,bibliographicCitation,comments*
Y16-20150514,EA001232,Xilinhot,"Ilyocypris bradyi Sars, 1890",Podocopida,Cypridoidea,Ilyocyprididae,Ilyocypridinae,Ilyocypris,bradyi,"Sars, 1890",1,,,,,,1 specimen,"Zhai, Dayou",Asia,,,,China,Inner Mongolia,Xilingol League,Xilinhot,,,43.860420,116.415110,1135,,,2015,05,14,2015-05-14,"creek, small creek in river bed",,macrophytes,,,1945,,,published record,"Ilyocypris bradyi Sars, 1890","Zhai, D., Ma, S., Wen, R., Wang, M., Wand, Q. & Yu, N. 2022. Disturbed aquatic habitats in central-eastern Inner Mongolia revealed by the prevalence of widespread ostracod species. Ecological Indicators, 143, 109301.",
Y17-20150517,EA001233,Xilinhot,"Plesiocypridopsis newtoni (Brady & Robertson, 1870)",Podocopida,Cypridoidea,Cyprididae,Cypridopsinae,Plesiocypridopsis,newtoni,"(Brady & Robertson, 1870)",5,,,,,,5 specimens,"Zhai, Dayou",Asia,,,,China,Inner Mongolia,Xilingol League,Xilinhot,,,43.863670,116.414140,1141,,,2015,05,17,2015-05-17,pond,,macrophytes,,,1201,,,published record,"Plesiocypridopsis newtoni (Brady & Robertson, 1870)","Zhai, D., Ma, S., Wen, R., Wang, M., Wand, Q. & Yu, N. 2022. Disturbed aquatic habitats in central-eastern Inner Mongolia revealed by the prevalence of widespread ostracod species. Ecological Indicators, 143, 109301.",
Y19-20150518,EA001234,Zhenglan Banner,"Heterocypris incongruens (Ramdohr, 1808)",Podocopida,Cypridoidea,Cyprididae,Cyprinotinae,Heterocypris,incongruens,"(Ramdohr, 1808)",1,,,,,,1 specimen,"Zhai, Dayou",Asia,,,,China,Inner Mongolia,Xilingol League,Zhenglan Banner,,,42.847530,115.890390,1304,,,2015,05,18,2015-05-18,"pond, mud of dried artificial pond",,,,,,,,published record,"Heterocypris incongruens (Ramdohr, 1808)","Zhai, D., Ma, S., Wen, R., Wang, M., Wand, Q. & Yu, N. 2022. Disturbed aquatic habitats in central-eastern Inner Mongolia revealed by the prevalence of widespread ostracod species. Ecological Indicators, 143, 109301.",
Y21-20150518,EA001235,Zhenglan Banner,"Heterocypris incongruens (Ramdohr, 1808)",Podocopida,Cypridoidea,Cyprididae,Cyprinotinae,Heterocypris,incongruens,"(Ramdohr, 1808)",20,,,,,,20 specimens,"Zhai, Dayou",Asia,,,,China,Inner Mongolia,Xilingol League,Zhenglan Banner,,,42.935580,115.949690,1296,,,2015,05,18,2015-05-18,"pond, mud of dried artificial pond",,,,,,,,published record,"Heterocypris incongruens (Ramdohr, 1808)","Zhai, D., Ma, S., Wen, R., Wang, M., Wand, Q. & Yu, N. 2022. Disturbed aquatic habitats in central-eastern Inner Mongolia revealed by the prevalence of widespread ostracod species. Ecological Indicators, 143, 109301.",
Y2-20130823,EA001236,Hexigten Banner,"Limnocythere inopinata (Baird, 1843)",Podocopida,Cytheroidea,Limnocytheridae,Limnocytherinae,Limnocythere,inopinata,"(Baird, 1843)",41,,,,,,41 specimens,"Zhai, Dayou",Asia,Gongger River,,,China,Inner Mongolia,Chifeng,Hexigten Banner,,,43.373360,116.741580,1228,,,2013,08,23,2013-08-23,river,,macrophytes,,,,,,published record,"Limnocythere inopinata (Baird, 1843)","Zhai, D., Ma, S., Wen, R., Wang, M., Wand, Q. & Yu, N. 2022. Disturbed aquatic habitats in central-eastern Inner Mongolia revealed by the prevalence of widespread ostracod species. Ecological Indicators, 143, 109301.",
Y22-20150518,EA001237,Zhenglan Banner,"Cyclocypris pangi Yu et al., 2022",Podocopida,Cypridoidea,Candonidae,Cyclocypridinae,Cyclocypris,pangi,"Yu et al., 2022",2,,,,,,2 specimens,"Zhai, Dayou",Asia,,,,China,Inner Mongolia,Xilingol League,Zhenglan Banner,,,43.012220,115.766610,1249,,,2015,05,18,2015-05-18,river,,,,,585,,,published record,"Cyclocypris pangi Yu et al., 2022","Zhai, D., Ma, S., Wen, R., Wang, M., Wand, Q. & Yu, N. 2022. Disturbed aquatic habitats in central-eastern Inner Mongolia revealed by the prevalence of widespread ostracod species. Ecological Indicators, 143, 109301.",
Y22-20150518,EA001237,Zhenglan Banner,"Fabaeformiscandona alexandri (Sywula, 1981)",Podocopida,Cypridoidea,Candonidae,Candoninae,Fabaeformiscandona,alexandri,"(Sywula, 1981)",2,,,,,,2 specimens,"Zhai, Dayou",Asia,,,,China,Inner Mongolia,Xilingol League,Zhenglan Banner,,,43.012220,115.766610,1249,,,2015,05,18,2015-05-18,river,,,,,585,,,published record,"Fabaeformiscandona alexandri (Sywula, 1981)","Zhai, D., Ma, S., Wen, R., Wang, M., Wand, Q. & Yu, N. 2022. Disturbed aquatic habitats in central-eastern Inner Mongolia revealed by the prevalence of widespread ostracod species. Ecological Indicators, 143, 109301.",
Y24-20150518,EA001238,Zhenglan Banner,"Cypris pubera O. F. Müller, 1776",Podocopida,Cypridoidea,Cyprididae,Cypridinae,Cypris,pubera,"O. F. Müller, 1776",3,,,,,,3 specimens,"Zhai, Dayou",Asia,,,,China,Inner Mongolia,Xilingol League,Zhenglan Banner,,,43.010000,115.781280,1255,,,2015,05,18,2015-05-18,"pond, artificial",,macrophytes,,,1998,,,published record,"Cypris pubera O. F. Müller, 1776","Zhai, D., Ma, S., Wen, R., Wang, M., Wand, Q. & Yu, N. 2022. Disturbed aquatic habitats in central-eastern Inner Mongolia revealed by the prevalence of widespread ostracod species. Ecological Indicators, 143, 109301.",
Y24-20150518,EA001238,Zhenglan Banner,"Tonnacypris rectangularis Yu et al., 2022",Podocopida,Cypridoidea,Cyprididae,Eucypridinae,Tonnacypris,rectangularis,"Yu et al., 2022",2,,,,,,2 specimens,"Zhai, Dayou",Asia,,,,China,Inner Mongolia,Xilingol League,Zhenglan Banner,,,43.010000,115.781280,1255,,,2015,05,18,2015-05-18,"pond, artificial",,macrophytes,,,1998,,,published record,"Tonnacypris rectangularis Yu et al., 2022","Zhai, D., Ma, S., Wen, R., Wang, M., Wand, Q. & Yu, N. 2022. Disturbed aquatic habitats in central-eastern Inner Mongolia revealed by the prevalence of widespread ostracod species. Ecological Indicators, 143, 109301.",
Y25-20150518,EA001239,Zhenglan Banner,"Tonnacypris rectangularis Yu et al., 2022",Podocopida,Cypridoidea,Cyprididae,Eucypridinae,Tonnacypris,rectangularis,"Yu et al., 2022",6,,,,,,6 specimens,"Zhai, Dayou",Asia,,,,China,Inner Mongolia,Xilingol League,Zhenglan Banner,,,43.007890,115.785140,1249,,,2015,05,18,2015-05-18,"pond, artificial",,macrophytes,,,1350,,,published record,"Tonnacypris rectangularis Yu et al., 2022","Zhai, D., Ma, S., Wen, R., Wang, M., Wand, Q. & Yu, N. 2022. Disturbed aquatic habitats in central-eastern Inner Mongolia revealed by the prevalence of widespread ostracod species. Ecological Indicators, 143, 109301.",
Y26-20150518,EA001240,Zhenglan Banner,"Candona candida (O. F. Müller, 1776)",Podocopida,Cypridoidea,Candonidae,Candoninae,Candona,candida,"(O. F. Müller, 1776)",3,,,,,,3 specimens,"Zhai, Dayou",Asia,,,,China,Inner Mongolia,Xilingol League,Zhenglan Banner,,,43.005690,115.793030,1263,,,2015,05,18,2015-05-18,"pond, artificial",,macrophytes,,,458,,,published record,"Candona candida (O. F. Müller, 1776)","Zhai, D., Ma, S., Wen, R., Wang, M., Wand, Q. & Yu, N. 2022. Disturbed aquatic habitats in central-eastern Inner Mongolia revealed by the prevalence of widespread ostracod species. Ecological Indicators, 143, 109301.",
Y26-20150518,EA001240,Zhenglan Banner,"Candona quasiakaina Karanovic & Lee, 2012",Podocopida,Cypridoidea,Candonidae,Candoninae,Candona,quasiakaina,"Karanovic & Lee, 2012",21,,,,,,21 specimens,"Zhai, Dayou",Asia,,,,China,Inner Mongolia,Xilingol League,Zhenglan Banner,,,43.005690,115.793030,1263,,,2015,05,18,2015-05-18,"pond, artificial",,macrophytes,,,458,,,published record,"Fabaeformiscandona quasiakaina (Karanovic and Lee, 2012)","Zhai, D., Ma, S., Wen, R., Wang, M., Wand, Q. & Yu, N. 2022. Disturbed aquatic habitats in central-eastern Inner Mongolia revealed by the prevalence of widespread ostracod species. Ecological Indicators, 143, 109301.",
