GENUS,SPECIES,SUBSPECIES,AUTHOR,YEAR,PUBLISHED?,REFERENCE,NAME IN REFERENCE,LONDEG,LONMIN,LONSEC,LATDEG,LATMIN,LATSEC,COUNTRY,REGION,LOCALITY,SITE,DAY,MONTH,YEAR,NO SPEC,MALES?,SEX RATIO,ALTITUDE,DEPTH,pH,TEMP,COND,ENVIRONMENT,NATURAL HABITAT,ARTIFICIAL HABITAT,DURATION,WATER CHEMISTRY,SUBSTRATE,VEGETATION,AGE,ZONE OF COLL,COMMENTS,VALIDATION STATUS OF COORDINATES
Cyclocypris,ovum,,(Jurine),1820,1,Sywula 1965a,Cyclocypris ovum (Jurine 1820),16,53,10,52,17,20,Poland,Poznan Province,Puszczykowo (Warta R. terrace),oxbow lake surroundings,,,1962,,U,,55,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,The_coordinates_for_the_estimated_middle_of_the_oxbow_lake._Habitat:_seasonal_overflows_on_oxbow_lake_shores._Coll._date:_1962_and/or_1963.,amber
Cypria,ophtalmica,,(Jurine),1820,1,Sywula 1965a,Cypria ophthalmica (Jurine 1820),16,53,10,52,17,20,Poland,Poznan Province,Puszczykowo (Warta R. terrace),oxbow lake surroundings,,,1962,,U,,55,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,The_coordinates_for_the_estimated_middle_of_the_oxbow_lake._Habitat:_seasonal_overflows_on_oxbow_lake_shores._Coll._date:_1962_and/or_1963.,amber
Cypris,pubera,,O.F. Mueller,1776,1,Sywula 1965a,Cypris pubera O.F. Muller 1776,16,53,10,52,17,20,Poland,Poznan Province,Puszczykowo (Warta R. terrace),oxbow lake surroundings,,,1962,,U,,55,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,The_coordinates_for_the_estimated_middle_of_the_oxbow_lake._Sampling_period:_spring_in_1962_and/or_1963._Habitat:_seasonal_overflows_on_oxbow_lake_shores.,amber
Pseudocandona,insculpta,,(G.W. Mueller),1900,1,Sywula 1965a,Candona insculpta G.W. Muller 1900,16,53,10,52,17,20,Poland,Poznan Province,Puszczykowo (Warta R. terrace),oxbow lake surroundings,,,1962,,U,,55,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,The_coordinates_for_the_estimated_middle_of_the_oxbow_lake._Habitat:_seasonal_overflows_on_oxbow_lake_shores._Coll._date:_1962_and/or_1963.,amber
Candona,weltneri,,Hartwig,1899,1,Sywula 1965a,Candona weltneri Hartwig 1898,16,53,10,52,17,20,Poland,Poznan Province,Puszczykowo (Warta R. terrace),oxbow lake surroundings,,,1962,,U,,55,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,The_coordinates_for_the_estimated_middle_of_the_oxbow_lake._Habitat:_seasonal_overflows_on_oxbow_lake_shores._Coll._date:_1962_and/or_1963.,amber
Fabaeformiscandona,fabaeformis,,(Fischer),1851,1,Sywula 1965a,Candona fabaeformis Fischer 1854,16,53,10,52,17,20,Poland,Poznan Province,Puszczykowo (Warta R. terrace),oxbow lake surroundings,,,1962,,Y,,55,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,The_coordinates_for_the_estimated_middle_of_the_oxbow_lake._Habitat:_seasonal_overflows_on_oxbow_lake_shores._Coll._date:_1962_and/or_1963.,amber
Candona,improvisa,,Ostermeyer,1937,1,Sywula 1965a,Candona improvisa Ostermeyer 1937,16,53,10,52,17,20,Poland,Poznan Province,Puszczykowo (Warta R. terrace),oxbow lake surroundings,,,1962,10,Y,70,55,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,The_coordinates_for_the_estimated_middle_of_the_oxbow_lake._Sampling_period:_spring_in_1962_or_1963._Habitat:_seasonal_overflows_on_oxbow_lake_shores.,amber
Fabaeformiscandona,fragilis,,(Hartwig),1898,1,Sywula 1965a,Candona fragilis Hartwig 1898,16,53,10,52,17,20,Poland,Poznan Province,Puszczykowo (Warta R. terrace),oxbow lake surroundings,,,1962,,U,,55,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,The_coordinates_for_the_estimated_middle_of_the_oxbow_lake._Sampling_period:_spring_in_1962_and/or_1963._Habitat:_seasonal_overflows_on_oxbow_lake_shores.,amber
Pseudocandona,hartwigi,,(G.W. Mueller),1900,1,Sywula 1965a,Candona hartwigi G.W. Muller 1900,16,53,10,52,17,20,Poland,Poznan Province,Puszczykowo (Warta R. terrace),oxbow lake surroundings,,,1962,,U,,55,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,The_coordinates_for_the_estimated_middle_of_the_oxbow_lake._Habitat:_seasonal_overflows_on_oxbow_lake_shores._Coll._date:_1962_and/or_1963.,amber
Fabaeformiscandona,acuminata,,(Fischer),1851,1,Sywula 1965a,Candona acuminata Fischer 1854,16,53,10,52,17,20,Poland,Poznan Province,Puszczykowo (Warta R. terrace),oxbow lake surroundings,,,1962,,U,,55,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,The_coordinates_for_the_estimated_middle_of_the_oxbow_lake._Habitat:_seasonal_overflows_on_oxbow_lake_shores._Coll._date:_1962_and/or_1963.,amber
Fabaeformiscandona,balatonica,,(Daday),1894,1,Sywula 1965a,Candona balatonica Daday 1894,16,53,10,52,17,20,Poland,Poznan Province,Puszczykowo (Warta R. terrace),oxbow lake surroundings,,,1962,,N,,55,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,The_coordinates_for_the_estimated_middle_of_the_oxbow_lake._Habitat:_seasonal_overflows_on_oxbow_lake_shores._Coll._date:_1962_and/or_1963.,amber
Cyclocypris,laevis,,(O.F. Mueller),1776,1,Sywula 1965a,Cyclocypris laevis (O.F. Muller 1785),16,44,0,52,15,50,Poland,Poznan Province,Witobelskie lake,,,,1962,,U,,64,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,The_coordinates_for_the_estimated_middle_of_the_lake._Habitat:_seasonal_overflows_on_lake_shores._Coll._date:_1962_and/or_1963.,amber
Pseudocandona,compressa,,(Koch),1838,1,Sywula 1965a,Candona compressa (Koch 1837),16,44,0,52,15,50,Poland,Poznan Province,Witobelskie lake,,,,1962,,U,,64,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,The_coordinates_for_the_estimated_middle_of_the_lake._Habitat:_seasonal_overflows_on_lake_shores._Coll._date:_1962_and/or_1963.,amber
Fabaeformiscandona,fragilis,,(Hartwig),1898,1,Sywula 1965a,Candona fragilis Hartwig 1898,16,44,0,52,15,50,Poland,Poznan Province,Witobelskie lake,,,,1962,,U,,64,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,The_coordinates_for_the_estimated_middle_of_the_lake._Sampling_period:_spring_in_1962_and/or_1963._Habitat:_seasonal_overflows_on_lake_shores.,amber
Cyclocypris,ovum,,(Jurine),1820,1,Sywula 1965a,Cyclocypris ovum (Jurine 1820),16,44,0,52,15,50,Poland,Poznan Province,Witobelskie lake,,,,1962,,U,,64,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,The_coordinates_for_the_estimated_middle_of_the_lake._Habitat:_seasonal_overflows_on_lake_shores._Coll._date:_1962_and/or_1963.,amber
Cyclocypris,laevis,,(O.F. Mueller),1776,1,Sywula 1965a,Cyclocypris laevis (O.F. Muller 1785),16,46,13,52,17,57,Poland,Poznan Province,Rosnowskie Lake (surroundings),,,,1962,,U,,81,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,"The_coordinates_for_the_estimated_middle_of_the_lake._Habitat:_seasonal_overflows_on_lake_shores._Coll._date:_1962_and/or_1963.
Rosnowko.",amber
Pseudocandona,compressa,,(Koch),1838,1,Sywula 1965a,Candona compressa (Koch 1837),16,46,13,52,17,57,Poland,Poznan Province,Rosnowskie Lake (surroundings),,,,1962,,U,,81,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,"The_coordinates_for_the_estimated_middle_of_the_lake._Habitat:_seasonal_overflows_on_lake_shores._Coll._date:_1962_and/or_1963.
Rosnowko.",amber
Pseudocandona,marchica,,(Hartwig),1899,1,Sywula 1965a,Candona marchica Hartwig 1899,16,46,13,52,17,57,Poland,Poznan Province,Rosnowskie Lake (surroundings),,,,1962,,U,,81,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,"The_coordinates_for_the_estimated_middle_of_the_lake._Habitat:_seasonal_overflows_on_lake_shores._Coll._date:_1962_and/or_1963.
Rosnowko.",amber
Cyclocypris,ovum,,(Jurine),1820,1,Sywula 1965a,Cyclocypris ovum (Jurine 1820),16,46,13,52,17,57,Poland,Poznan Province,Rosnowskie Lake (surroundings),,,,1962,,U,,81,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,"The_coordinates_for_the_estimated_middle_of_the_lake._Habitat:_seasonal_overflows_on_lake_shores._Coll._date:_1962_and/or_1963.
Rosnowko.",amber
Pseudocandona,compressa,,(Koch),1838,1,Sywula 1965a,Candona compressa (Koch 1837),16,46,47,52,17,40,Poland,Poznan Province,Male Lake (surroundings),,,,1962,,U,,80,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,The_coordinates_for_the_estimated_middle_of_the_lake._Habitat:_seasonal_overflows_on_lake_shores._Coll._date:_1962_and/or_1963.,amber
Candona,lindneri,,Petkovski,1969,1,Sywula 1965a; 1971a,Candona neglecta G.O. Sars 1887 in Ref 1; Candona (Candona) lindneri Petkovski in Ref 2,16,46,47,52,17,40,Poland,PoznanProvince,Male Lake (surroundings),,20,4,1963,,U,,80,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,The_coordinates_for_the_estimated_middle_of_the_lake._Habitat:_seasonal_overflows_on_lake_shores.,amber
Cyclocypris,ovum,,(Jurine),1820,1,Sywula 1965a,Cyclocypris ovum (Jurine 1820),16,46,47,52,17,40,Poland,Poznan Province,Male Lake (surroundings),,,,1962,,U,,80,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,The_coordinates_for_the_estimated_middle_of_the_lake._Habitat:_seasonal_overflows_on_lake_shores._Coll._date:_1962_and/or_1963.,amber
Cyclocypris,laevis,,(O.F. Mueller),1776,1,Sywula 1965a,Cyclocypris laevis (O.F. Muller 1785),16,46,47,52,17,40,Poland,Poznan Province,Male Lake (surroundings),,,,1962,,U,,80,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,The_coordinates_for_the_estimated_middle_of_the_lake._Habitat:_seasonal_overflows_on_lake_shores._Coll._date:_1962_and/or_1963.,amber
Pseudocandona,compressa,,(Koch),1838,1,Sywula 1965a,Candona compressa (Koch 1837),16,45,0,52,15,22,Poland,Poznan Province,Lodzko-Dymaczewskie Lake,surroundings of N part,,,1962,,U,,64,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,"The_coordinates_for_the_estimated_middle_of_the_northern_part_of_the_lake._Habitat:_seasonal_overflows_on_lake_shores._Coll._date:_1962_and/or_1963.
Coordinates corrected for northern part of Jezioro Dymaczewskie.",amber
Fabaeformiscandona,fabaeformis,,(Fischer),1851,1,Sywula 1965a,Candona fabaeformis Fischer 1854,16,46,47,52,17,40,Poland,Poznan Province,Male Lake (surroundings),,,,1962,,Y,,80,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,The_coordinates_for_the_estimated_middle_of_the_lake._Habitat:_seasonal_overflows_on_lake_shores._Coll._date:_1962_and/or_1963.,amber
Cyclocypris,ovum,,(Jurine),1820,1,Sywula 1965a,Cyclocypris ovum (Jurine 1820),16,45,0,52,15,22,Poland,Poznan Province,Lodzko-Dymaczewskie Lake,surroundings of N part,,,1962,,U,,64,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,"The_coordinates_for_the_estimated_middle_of_the_northern_part_of_the_lake._Habitat:_seasonal_overflows_on_lake_shores._Coll._date:_1962_and/or_1963.
Coordinates corrected for northern part of Jezioro Dymaczewskie.",amber
Cyclocypris,laevis,,(O.F. Mueller),1776,1,Sywula 1965a,Cyclocypris laevis (O.F. Muller 1785),16,45,0,52,15,22,Poland,Poznan Province,Lodzko-Dymaczewskie Lake,surroundings of N part,,,1962,,U,,64,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,"The_coordinates_for_the_estimated_middle_of_the_northern_part_of_the_lake._Habitat:_seasonal_overflows_on_lake_shores._Coll._date:_1962_and/or_1963.
Coordinates corrected for northern part of Jezioro Dymaczewskie.",amber
Pseudocandona,compressa,,(Koch),1838,1,Sywula 1965a,Candona compressa (Koch 1837),16,49,38,52,14,37,Poland,Poznan Province,Budzynskie Lake (surroundings),,,,1962,,U,,63,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,"The_coordinates_for_the_middle_of_the_lake._Sampling_period:_spring_in_1962_and/or_1963._Habitat:_seasonal_overflows_on_lake_shores.
Longitude corrected.",amber
Fabaeformiscandona,fragilis,,(Hartwig),1898,1,Sywula 1965a,Candona fragilis Hartwig 1898,16,45,0,52,15,22,Poland,Poznan Province,Lodzko-Dymaczewskie Lake,surroundings of N part,,,1962,,U,,64,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,"The_coordinates_for_the_estimated_middle_of_the_northern_part_of_the_lake._Sampling_period:_spring_in_1962_and/or_1963._Habitat:_seasonal_overflows_on_lake_shores.
Coordinates corrected for northern part of Jezioro Dymaczewskie.",amber
Cyclocypris,laevis,,(O.F. Mueller),1776,1,Sywula 1965a,Cyclocypris laevis (O.F. Muller 1785),16,49,38,52,14,37,Poland,Poznan Province,Budzynskie Lake (surroundings),,,,1962,4,U,,63,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,"The_coordinates_for_the_middle_of_the_lake._Sampling_period:_spring_in_1962_and/or_1963._Habitat:_seasonal_overflows_on_lake_shores.
Longitude corrected.",amber
Cyclocypris,ovum,,(Jurine),1820,1,Sywula 1965a,Cyclocypris ovum (Jurine 1820),16,49,38,52,14,37,Poland,Poznan Province,Budzynskie Lake (surroundings),,,,1962,4,U,,63,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,"The_coordinates_for_the_middle_of_the_lake._Sampling_period:_spring_in_1962_and/or_1963._Habitat:_seasonal_overflows_on_lake_shores.
Longitude corrected.",amber
Cypris,pubera,,O.F. Mueller,1776,1,Sywula 1965a,Cypris pubera O.F. Muller 1776,16,49,38,52,14,37,Poland,Poznan Province,Budzynskie Lake (surroundings),,,,1962,,U,,63,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,"The_coordinates_for_the_middle_of_the_lake._Sampling_period:_spring_in_1962_and/or_1963._Habitat:_seasonal_overflows_on_lake_shores.
Longitude corrected.",amber
Metacypris,cordata,,Brady & Robertson,1870,1,Sywula 1965a,Metacypris cordata Brady & Robertson 1870,16,49,38,52,14,37,Poland,Poznan Province,Budzynskie Lake (surroundings),,,,1962,4,U,,63,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,"The_coordinates_for_the_middle_of_the_lake._Sampling_period:_spring_in_1962_and/or_1963._Habitat:_seasonal_overflows_on_lake_shores.
Longitude corrected.",amber
Cypria,ophtalmica,,(Jurine),1820,1,Sywula 1965a,Cypria ophthalmica (Jurine 1820),16,48,0,52,15,0,Poland,Poznan Province,Greater Poland National Park,marsh Bagno Losiowe,,,1962,,U,,70,,,,,LENTIC,FRESHWATER_MARSH,,PERMANENT,FRESHWATER,,,,,Coll._date:_1962_and/or_1963.,amber
Fabaeformiscandona,fragilis,,(Hartwig),1898,1,Sywula 1965a,Candona fragilis Hartwig 1898,16,49,38,52,14,37,Poland,Poznan Province,Budzynskie Lake (surroundings),,,,1962,,U,,63,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,"The_coordinates_for_the_middle_of_the_lake._Sampling_period:_spring_in_1962_and/or_1963._Habitat:_seasonal_overflows_on_lake_shores.
Longitude corrected.",amber
Bradleystrandesia,reticulata,,(Zaddach),1844,1,Sywula 1965a,Eucypris affinis (Fischer 1851),16,48,35,52,15,10,Poland,Poznan Province,Greater Poland National Park,marsh Gapiak,,,1962,,U,,65,,,,,LENTIC,FRESHWATER_MARSH,,PERMANENT,FRESHWATER,MUD,,POST_LAST_GLACIATION,,Sampling_period:_spring_in_1962_and/or_1963._Habitat_substrate_and_vegetation:_a_forest_marsh_with_mossy_and_peaty_substrate.,amber
Paracandona,euplectella,,(Robertson),1889,1,Sywula 1965a,Paracandona euplectella (Brady et Norman 1889),16,48,35,52,15,10,Poland,Poznan Province,Greater Poland National Park,"marsh ""Gapiak""",,4,1962,,Y,,65,,,,,LENTIC,FRESHWATER_MARSH,,PERMANENT,FRESHWATER,MUD,,POST_LAST_GLACIATION,,No_specimens:_numerous._Habitat_substrate_and_vegetation:_a_forest_marsh_with_mossy_and_peaty_substrate._Coll._date:_1962_and/or_1963.,amber
Eucypris,virens,,(Jurine),1820,1,Sywula 1965a,Eucypris virens (Jurine 1820),16,53,10,52,18,50,Poland,Poznan Province,Lasek - Leczyca,between villages,,,1962,,U,,67,,,,,LENTIC,OTHER,,TEMPORARY,FRESHWATER,,,,,Coll._date:_spring_in_1962_and/or_1963._Habitat:_a_puddle._Number_of_specimens:_very_abundant.,amber
Cypria,ophtalmica,,(Jurine),1820,1,Sywula 1965a,Cypria ophthalmica (Jurine 1820),16,48,35,52,15,10,Poland,Poznan Province,Greater Poland National Park,marsh Gapiak,,,1962,,U,,65,,,,,LENTIC,FRESHWATER_MARSH,,PERMANENT,FRESHWATER,MUD,,POST_LAST_GLACIATION,,Habitat_substrate_and_vegetation:_a_forest_marsh_with_mossy_and_peaty_substrate._Coll._date:_1962_and/or_1963.,amber
Cypris,pubera,,O.F. Mueller,1776,1,Sywula 1965a,Cypris pubera O.F. Muller 1776,16,53,10,52,18,50,Poland,Poznan Province,Lasek - Leczyca,between villages,,,1962,,U,,60,,,,,LENTIC,OTHER,,TEMPORARY,FRESHWATER,,,,,Habitat:_small_waterbodies._Sampling_period:_spring_in_1962_and/or_1963.,amber
Eucypris,crassa,,(O.F. Mueller),1785,1,Sywula 1965a,Eucypris crassa (O.F. Muller 1785),16,53,10,52,18,50,Poland,Poznan Province,Lasek - Leczyca,between villages,,,1962,,U,,60,,,,,LENTIC,OTHER,,TEMPORARY,FRESHWATER,,,,,Habitat:_a_puddle._Sampling_period:_spring_in_1962_and/or_1963.,amber
Cypris,pubera,,O.F. Mueller,1776,1,Sywula 1965a,Cypris pubera O.F. Muller 1776,16,46,30,52,18,0,Poland,Poznan Province,Rosnowko,meadow,,,1962,,U,,90,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,Sampling_period:_spring_in_1962_and/or_1963.,amber
Pseudocandona,compressa,,(Koch),1838,1,Sywula 1965a,Candona compressa (Koch 1837),16,47,40,52,14,40,Poland,Poznan Province,Greater Poland National Park,Piskorzewskie Meadows,,,1962,,U,,70,,,,,LENTIC,,DITCH,TEMPORARY,FRESHWATER,,,,,Coll._date:_1962_and/or_1963._Habitat:_a_roadside_meadow_ditch.,amber
Candona,candida,,(O.F. Mueller),1776,1,Sywula 1965a,Candona candida (O.F. Muller 1785),16,48,23,52,15,15,Poland,Poznan Province,Greater Poland National Park,pond Zabiak,,,1962,,U,,65,,,,,LENTIC,POND,,PERMANENT,FRESHWATER,,,,LITTORAL,Coll._date:_1962_and/or_1963._Habitat:_a_forest_pond.,green
Pseudocandona,stagnalis,,(Sars),1890,1,Sywula 1965a,Candona stagnalis G.O. Sars 1890,16,47,32,52,15,10,Poland,PoznanProvince,Greater Poland National Park,peat bog Sarnie Doly,,,1962,,U,,85,,,,,LENTIC,PEAT_BOG,,PERMANENT,FRESHWATER,,,,,Coll._date:_1962_and/or_1963.,amber
Pseudocandona,compressa,,(Koch),1838,1,Sywula 1965a,Candona compressa (Koch 1837),16,46,30,52,18,0,Poland,Poznan Province,Rosnowko,meadow,,,1962,,U,,90,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,Coll._date:_1962_and/or_1963.,amber
Tonnacypris,lutaria,,(Koch),1838,1,Sywula 1965a,Eucypris lutaria (Koch 1838),16,50,0,52,15,5,Poland,PoznanProvince,Pozegowo - Osowa Gora,meadow between villages,,,1962,,U,,120,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,Coll._date:_1962_and/or_1963._Number_of_specimens:_not_numerous.,amber
Pseudocandona,albicans,,(Brady),1864,1,Sywula 1965a,Candona parallela G.W. Muller 1900,16,50,38,52,19,5,Poland,Poznan Province,Wiry,meadow close to railway,,,1962,,U,,70,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,Coll._date:_1962_and/or_1963. Coordinates approx. for village of Wiry. Coordinates approx. for village of Wiry.,amber
Pseudocandona,albicans,,(Brady),1864,1,Sywula 1965a,Candona parallela G.W. Muller 1900,16,49,23,52,15,2,Poland,Poznan Province,Greater Poland National Park,field near Napoleons Well,,,1962,,U,,110,,,,,LENTIC,FRESHWATER_MARSH,,PERMANENT,FRESHWATER,,,,,Coll._date:_1962_and/or_1963.,green
Cypris,pubera,,O.F. Mueller,1776,1,Sywula 1965a,Cypris pubera O.F. Muller 1776,16,50,0,52,15,5,Poland,Poznan Province,Pozegowo - Osowa Gora,meadow between villages,,,1962,,U,,120,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,Sampling_period:_spring_in_1962_and/or_1963.,amber
Eucypris,virens,,(Jurine),1820,1,Sywula 1965a,Eucypris virens (Jurine 1820),16,50,0,52,15,5,Poland,Poznan Province,Pozegowo - Osowa Gora,meadow between villages,,,1962,,U,,108,,,,,LENTIC,WET_MEADOW,,TEMPORARY,FRESHWATER,,,,,Coll._date:_1962_and/or_1963._Number_of_specimens:_very_abundant.,amber
Pseudocandona,lobipes,,(Hartwig),1900,1,Sywula 1965a,Candona lobipes Hartwig 1900,16,53,15,52,19,0,Poland,Poznan Province,Leczyca - Lasek (E of railway),meadow between villages,,,1962,6,U,,60,,,,,LENTIC,,DITCH,PERMANENT,FRESHWATER,,PRESENT_UNSPECIFIED,,,Sampling_period:_the_species_was_found_in_spring_1962_and/or_1963.,amber
Candona,weltneri,,Hartwig,1899,1,Sywula 1965a,Candona weltneri Hartwig 1898,16,53,15,52,19,0,Poland,Poznan Province,Leczyca - Lasek (E of railway),meadow between villages,,,1962,,U,,60,,,,,LENTIC,,DITCH,PERMANENT,FRESHWATER,,PRESENT_UNSPECIFIED,,,Coll._date:_1962_and/or_1963.,amber
Fabaeformiscandona,fragilis,,(Hartwig),1898,1,Sywula 1965a,Candona fragilis Hartwig 1898,16,53,15,52,19,0,Poland,Poznan Province,Leczyca - Lasek (E of railway),meadow between villages,,,1962,,U,,60,,,,,LENTIC,,DITCH,PERMANENT,FRESHWATER,,PRESENT_UNSPECIFIED,,,Sampling_period:_spring_in_1962_and/or_1963.,amber
Pseudocandona,insculpta,,(G.W. Mueller),1900,1,Sywula 1965a,Candona insculpta G.W. Muller 1900,16,53,15,52,19,0,Poland,Poznan Province,Leczyca - Lasek (E of railway),meadow between villages,,,1962,,U,,60,,,,,LENTIC,,DITCH,PERMANENT,FRESHWATER,,PRESENT_UNSPECIFIED,,,,amber
Fabaeformiscandona,acuminata,,(Fischer),1851,1,Sywula 1965a,Candona acuminata Fischer 1854,16,53,15,52,19,0,Poland,Poznan Province,Leczyca - Lasek (E of railway),meadow between villages,,,1962,,U,,60,,,,,LENTIC,,DITCH,PERMANENT,FRESHWATER,,PRESENT_UNSPECIFIED,,,Coll._date:_1962_and/or_1963.,amber
Pseudocandona,insculpta,,(G.W. Mueller),1900,1,Sywula 1965a,Candona insculpta G.W. Muller 1900,16,45,20,52,15,30,Poland,Poznan_Province,Lodzko-Dymaczewskie Lake,ditch near lake-side,,,1962,,U,,70,,,,,LENTIC,,DITCH,PERMANENT,FRESHWATER,MUD,PRESENT_UNSPECIFIED,,,Coll._date:_1962_and/or_1963.,amber
Fabaeformiscandona,holzkampfi,,(Hartwig),1900,1,Sywula 1965a,Candona holzkampfi Hartwig 1900,16,53,0,52,19,36,Poland,Poznan Province,Lasek,meadow ditch near village,,,1962,,Y,,60,,,,,LENTIC,,DITCH,PERMANENT,FRESHWATER,MUD,,,,"Coll._date:_1962_and/or_1963.
Unable to match locality name to coordinates.",red
Fabaeformiscandona,fabaeformis,,(Fischer),1851,1,Sywula 1965a,Candona fabaeformis Fischer 1854,16,53,0,52,19,36,Poland,Poznan Province,Lasek,meadow ditch near village,,,1962,,Y,,60,,,,,LENTIC,,DITCH,PERMANENT,FRESHWATER,MUD,,,,"Coll._date:_1962_and/or_1963.
Unable to match locality name to coordinates.",red
Candona,candida,,(O.F. Mueller),1776,1,Sywula 1965a,Candona candida (O.F. Muller 1785),16,49,24,52,14,58,Poland,Poznan Province,Pozegowo - Osowa Gora,pond,,,1962,,U,,85,,,,,LENTIC,POND,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,LITTORAL,Coll._date:_1962_and/or_1963.,amber
Pseudocandona,albicans,,(Brady),1864,1,Sywula 1965a,Candona parallela G.W. Muller 1900,16,49,40,52,15,0,Poland,Poznan Province,Pozegowo,near Osowa Gora,,,1962,,U,,110,,,,,LENTIC,,OTHER,PERMANENT,FRESHWATER,,,,,Habitat:_small_holes_with_water._Coll._date:_1962_and/or_1963.,amber
Cypria,ophtalmica,,(Jurine),1820,1,Sywula 1965a,Cypria ophthalmica (Jurine 1820),16,54,0,52,18,52,Poland,Poznan Province,Katnik,ditch by road to village,,,1962,,U,,55,,,,,LENTIC,,DITCH,PERMANENT,FRESHWATER,,,,,Coll._date:_1962_and/or_1963.,amber
Plesiocypridopsis,newtoni,,(Brady & Robertson),1870,1,Sywula 1965a,Cypridopsis newtoni Brady & Robertson 1870,16,44,48,52,15,38,Poland,Poznan Province,Witobelskie - Lodzkie Lakes,ditch between lakes,,,1962,,U,,64,,,,,LENTIC,,DITCH,PERMANENT,FRESHWATER,,,,,Sampling_period:_very_common_in_summer_and_autumn_in_1962_and/or_1963.,amber
Candonopsis,kingsleii,,(Brady & Robertson),1870,1,Sywula 1965a,Candonopsis kingsleii (Brady & Robertson 1870),16,54,0,52,18,52,Poland,Poznan Province,Katnik,ditch by road to village,,,1962,,U,,55,,,,,LENTIC,,DITCH,PERMANENT,FRESHWATER,,,,,No_specimens:_a_few_individuals_were_found._Coll._date:_1962_and/or_1963.,amber
Cypria,ophtalmica,,(Jurine),1820,1,Sywula 1965a,Cypria ophthalmica (Jurine 1820),16,46,30,52,15,40,Poland,Poznan Province,Gorka,field ditch near village,,,1962,,U,,65,,,,,LENTIC,,DITCH,PERMANENT,FRESHWATER,,,,,Coll._date:_1962_and/or_1963.,amber
Eucypris,crassa,,(O.F. Mueller),1785,1,Sywula 1965a,Eucypris crassa (O.F. Muller 1875),16,46,30,52,15,40,Poland,Poznan Province,Gorka,field ditch near village,,,1962,,U,,65,,,,,LENTIC,,OTHER,TEMPORARY,FRESHWATER,,,,,Habitat:_an_overflow_of_a_ditch._Coll._date:_1962_and/or_1963.,amber
