GENUS,SPECIES,SUBSPECIES,AUTHOR,YEAR,PUBLISHED?,REFERENCE,NAME IN REFERENCE,LONDEG,LONMIN,LONSEC,LATDEG,LATMIN,LATSEC,COUNTRY,REGION,LOCALITY,SITE,DAY,MONTH,YEAR,NO SPEC,MALES?,SEX RATIO,ALTITUDE,DEPTH,pH,TEMP,COND,ENVIRONMENT,NATURAL HABITAT,ARTIFICIAL HABITAT,DURATION,WATER CHEMISTRY,SUBSTRATE,VEGETATION,AGE,ZONE OF COLL,COMMENTS,VALIDATION STATUS OF COORDINATES
Limnocythere,inopinata,,(Baird),1843,1,Fryer 1993,Limnocythere inopinata (Baird),-2,-7,-30,54,16,50,England,North Yorkshire,Semerwater,,,,,,U,,253,,,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Cytherissa,lacustris,,(Sars),1863,1,Fryer 1993,Cytherissa lacustris Sars,-2,-7,-300,54,16,50,England,North Yorkshire,Semerwater,,,,,,U,,253,,,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Cyclocypris,laevis,,(O.F. Mueller),1776,1,Fryer 1993,Cyclocypris laevis (O.F.Muller),0,-10,-53,53,54,24,England,Humberside,Hornsea Mere,,,,,,U,,15,,,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Cyclocypris,ovum,,(Jurine),1820,1,Fryer 1993,Cyclocypris ovum (Jurine),0,-10,-53,53,54,24,England,Humberside,Hornsea Mere,,,,,,U,,15,,,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Cypria,ophtalmica,,(Jurine),1820,1,Fryer 1993,Cypria ophthalmica (Jurine),0,-10,-53,53,54,24,England,Humberside,Hornsea Mere,,,,,,U,,15,,,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Notodromas,monacha,,(O.F. Mueller),1776,1,Fryer 1993,Notodromas monacha (O.F.Muller),0,-10,-53,53,54,24,England,Humberside,Hornsea Mere,,,,,,U,,15,,,,,LENTIC,LAKE,,,,,,,,,green
Cypris,pubera,,O.F. Mueller,1776,1,Fryer 1993,Cypris pubera O.F.Muller,0,-10,-53,53,54,24,England,Humberside,Hornsea Mere,,,,,,U,,15,,,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Herpetocypris,reptans,,(Baird),1835,1,Fryer 1993,Herpetocypris reptans (Baird),0,-10,-53,53,54,24,England,Humberside,Hornsea Mere,,,,,,U,,15,,,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Cypridopsis,vidua,,(O.F. Mueller),1776,1,Fryer 1993,Cypridopsis vidua (O.F.Muller),0,-10,-53,53,54,24,England,Humberside,Hornsea Mere,,,,,,U,,15,,,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Plesiocypridopsis,newtoni,,(Brady & Robertson),1870,1,Fryer 1993,Plesiocypridopsis newtoni (Brady & Robertson)(= Cypridopsis newtoni),0,-10,-53,53,54,24,England,Humberside,Hornsea Mere,,,,,,U,,15,,,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Sarscypridopsis,aculeata,,(Costa),1847,1,Fryer 1993,Plesiocypridopsis aculeata (Costa)(= Cypridopsis aculeata),0,-10,-53,53,54,24,England,Humberside,Hornsea Mere,,,,,,U,,15,,,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Potamocypris,variegata,,(Brady & Norman),1889,1,Fryer 1993,Potamocypris variegata (Brady & Norman),0,-10,-53,53,54,24,England,Humberside,Hornsea Mere,,,,,,U,,15,,,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Potamocypris,villosa,,(Jurine),1820,1,Fryer 1993,Potamocypris villosa (Jurine),0,-10,-53,53,54,24,England,Humberside,Hornsea Mere,,,,,,U,,15,,,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Limnocythere,inopinata,,(Baird),1843,1,Fryer 1993,Limnocythere inopinata (Baird),0,-10,-53,53,54,24,England,Humberside,Hornsea Mere,,,,,,U,,15,,,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Cyprideis,torosa,,(Jones),1850,1,Lerner-Seggev 1968,Cyprideis torosa (Jones) 1850,35,35,30,32,48,30,Israel,,Lake Tiberias,,,,,,Y,,,,,,,LENTIC,LAKE,,PERMANENT,OLIGO/MESOHALINE,,,NEOGENE,,,green
Limnocythere,inopinata,,(Baird),1843,1,Lerner-Seggev 1968,Limnocythere inopinata (Baird) 1843,35,35,30,32,48,30,Israel,,Lake Tiberias,,,,,,N,,,,,,,LENTIC,LAKE,,PERMANENT,OLIGO/MESOHALINE,,,NEOGENE,,,green
Darwinula,stevensoni,,(Brady & Robertson),1870,1,Lerner-Seggev 1968,Darwinula stevensoni (Brady & Robertson) 1870,35,35,30,32,48,30,Israel,,Lake Tiberias,,,,,,N,,,,,,,LENTIC,LAKE,,PERMANENT,OLIGO/MESOHALINE,,,NEOGENE,,,green
Potamocypris,mastigophora,,(Methuen),1910,1,Lerner-Seggev 1968,Potamocyris producta (G.O.Sars) 1924,35,35,30,32,48,30,Israel,,Lake Tiberias,,,,,,N,,,,,,,LENTIC,LAKE,,PERMANENT,OLIGO/MESOHALINE,,,NEOGENE,,,green
Loxoconcha,galilea,,Lerner-Seggev,1968,1,Lerner-Seggev 1968,Loxoconcha galilea n. sp.,35,35,30,32,48,30,Israel,,Lake Tiberias,,,,,,Y,,,,,,,LENTIC,LAKE,,PERMANENT,OLIGO/MESOHALINE,,,NEOGENE,,,green
Ilyocypris,hartmanni,,Lerner-Seggev,1968,1,Lerner-Seggev 1968,Ilyocypris hartmanni n. sp.,35,35,30,32,48,30,Israel,,Lake Tiberias,,,,,,Y,,,,,,,LENTIC,LAKE,,PERMANENT,OLIGO/MESOHALINE,,,NEOGENE,,,green
Ilyocypris,nitida,,Lerner-Seggev,1968,1,Lerner-Seggev 1968,Ilyocypris nitida n. sp.,35,35,30,32,48,30,Israel,,Lake Tiberias,,,,,,Y,,,,,,,LENTIC,LAKE,,PERMANENT,OLIGO/MESOHALINE,,,NEOGENE,,,green
Candona,candida,,(O.F. Mueller),1776,1,Fryer 1993,Candona candida  O.F.Muller),-2,-16,-48,54,20,17,England,North Yorkshire,Cotterdale,Cotter End Tarn,,,,,U,,513,,3.3,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Candona,candida,,(O.F. Mueller),1776,1,Fryer 1993,Candona candida (O.F.Muller),-1,-49,-58,54,4,17,England,North Yorkshire,Greenhow Hill,,,,,,U,,405,,5.13,,,LENTIC,,OTHER,,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
Cyclocypris,globosa,,(Sars),1863,1,Fryer 1993,Cyclocypris globosa Sars,-1,-49,-58,54,4,17,England,North Yorkshire,Greenhow Hill,,,,,,U,,405,,5.13,,,LENTIC,,OTHER,,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
Cyclocypris,ovum,,(Jurine),1820,1,Fryer 1993,Cyclocypris ovum (Jurine),-1,-49,-58,54,4,17,England,North Yorkshire,Greenhow Hill,,,,,,U,,405,,5.13,,,LENTIC,,OTHER,,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
Cypria,ophtalmica,,(Jurine),1820,1,Fryer 1993,Cypria ophthalmica (Jurine),-1,-49,-58,54,4,17,England,North Yorkshire,Greenhow Hill,,,,,,U,,405,,5.13,,,LENTIC,,OTHER,,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
Neglecandona,neglecta,,(Sars),1887,1,Fryer 1993,Candona neglecta Sars,-2,-23,-8,54,14,21,England,North Yorkshire,Whernside,,,,,,U,,548,,7,,,LENTIC,PEAT_BOG,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
Eucypris,pigra,,(Fischer),1851,1,Fryer 1993,Eucypris pigra (Fischer),-2,-23,-8,54,14,21,England,North Yorkshire,Whernside,,,,,,U,,548,,7,,,LENTIC,PEAT_BOG,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
Potamocypris,villosa,,(Jurine),1820,1,Fryer 1993,Potamocypris villosa (Jurine),-2,-23,-8,54,14,21,England,North Yorkshire,Whernside,,,,,,U,,548,,7,,,LENTIC,PEAT_BOG,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
Cyclocypris,laevis,,(O.F. Mueller),1776,1,Fryer 1993,Cyclocypris laevis (O.F.Muller),-2,-13,-33,54,21,48,England,North Yorkshire,Pickersett,Pickersett Tarn,,,,,U,,648,,3.85,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Candona,candida,,(O.F. Mueller),1776,1,Fryer 1993,Candona candida (O.F.Muller),-1,-13,-45,54,14,30,England,North Yorkshire,Sutton Bank,Gormire lake,,,,,U,,154,,,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Candonopsis,kingsleii,,(Brady & Robertson),1870,1,Fryer 1993,Candonopsis kingslei (Brady & Robertson),-1,-13,-45,54,14,30,England,North Yorkshire,Sutton Bank,Gormire lake,,,,,U,,154,,,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Cyclocypris,ovum,,(Jurine),1820,1,Fryer 1993,Cyclocypris ovum (Jurine),-1,-13,-45,54,14,30,England,North Yorkshire,Sutton Bank,Gormire lake,,,,,U,,154,,,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Bradleycypris,obliqua,,(Brady),1868,1,Fryer 1993,Strandesia obliqua (Brady),-1,-13,-45,54,14,30,England,North Yorkshire,Sutton Bank,Gormire lake,,,,,U,,154,,,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Cypridopsis,vidua,,(O.F. Mueller),1776,1,Fryer 1993,Cypridopsis vidua (O.F.Muller),-1,-13,-45,54,14,30,England,North Yorkshire,Sutton Bank,Gormire lake,,,,,U,,154,,,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Candona,candida,,(O.F. Mueller),1776,1,Fryer 1993,Candona candida (O.F.Muler),-2,-18,-19,54,14,34,England,North Yorkshire,Gayle Moor,,,,,,U,,,,,,,LENTIC,,,,,,,POST_LAST_GLACIATION,,,amber
Pseudocandona,stagnalis,,(Sars),1890,1,Fryer 1993,Candona stagnalis Sars,-2,-18,-19,54,14,34,England,North Yorkshire,Gayle Moor,,,,,,U,,,,,,,LENTIC,,,,,,,POST_LAST_GLACIATION,,,amber
Cryptocandona,vavrai,,Kaufmann,1900,1,Fryer 1993,Candona vavrai Kaufmann,-2,-18,-19,54,14,34,England,North Yorkshire,Gayle Moor,,,,,,U,,,,,,,LENTIC,,,,,,,POST_LAST_GLACIATION,,,amber
Psychrodromus,olivaceus,,(Brady & Norman),1889,1,Fryer 1993,Psychrodromus olivaceus (Brady & Norman)(=Ilyodromus olivaceus),-2,-10,0,54,7,33,England,North Yorkshire,Thoragill Beck,,,,,,U,,353,,,,,LENTIC,SEEPAGE,,,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
Candona,candida,,(O.F. Mueller),1776,1,Fryer 1993,Candona candida (O.F.Muller),-2,-10,0,54,7,33,England,North Yorkshire,Thoragill Beck,,,,,,U,,353,,,,,LENTIC,SEEPAGE,,,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
Cyclocypris,ovum,,(Jurine),1820,1,Fryer 1993,Cyclocypris ovum (Jurine),-2,-10,0,54,7,33,England,North Yorkshire,Thoragill Beck,,,,,,U,,353,,,,,LENTIC,SEEPAGE,,,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
Potamocypris,zschokkei,,(Kaufmann),1900,1,Fryer 1993,Potamocypris zschokkei (Kaufmann),-2,-10,0,54,7,33,England,North Yorkshire,Thoragill Beck,,,,,,U,,353,,,,,LENTIC,SEEPAGE,,,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
Potamocypris,fallax,,Fox,1967,1,Fryer 1993,Potamocypris fallax Fox,-2,-10,0,54,7,33,England,North Yorkshire,Thoragill Beck,,,,,,U,,353,,,,,LENTIC,SEEPAGE,,,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
Candona,candida,,(O.F. Mueller),1776,1,Fryer 1993,Candona candida (O.F.Muller),-2,-28,0,54,19,0,England,North Yorkshire,Sedbergh,,,,,,U,,183,,,,,LENTIC,SEEPAGE,,,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
Pseudocandona,stagnalis,,(Sars),1890,1,Fryer 1993,Candona stagnalis Sars,-2,-28,0,54,19,0,England,North Yorkshire,Sedbergh,,,,,,U,,183,,,,,LENTIC,SEEPAGE,,,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
Cryptocandona,vavrai,,Kaufmann,1900,1,Fryer 1993,Candona vavrai Kaufmann,-2,-28,0,54,19,0,England,North Yorkshire,Sedbergh,,,,,,U,,183,,,,,LENTIC,SEEPAGE,,,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
Cyclocypris,globosa,,(Sars),1863,1,Fryer 1993,Cyclocypris globosa Sars,-2,-28,0,54,19,0,England,North Yorkshire,Sedbergh,,,,,,U,,183,,,,,LENTIC,SEEPAGE,,,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
